Date,Type,Pair,Stock_A,Stock_B,Signal,Zscore,Price_A,Price_B,Qty_A,Qty_B,Fee,Reason,PnL,PnL_Pct
2023-02-23,ENTRY,BHP.AX-RIO.AX,BHP.AX,RIO.AX,long,-2.8739735625476976,40.090797424316406,105.48680114746094,12.471690066626945,-1.6245170569930698,0.6713651077516865,,,
2023-03-02,EXIT,BHP.AX-RIO.AX,BHP.AX,RIO.AX,,,41.258575439453125,106.3758316040039,,,0.6873735183639328,mean_reversion,-330.96903379892285,-0.4929792001066226
2023-03-07,ENTRY,CMM.AX-GMD.AX,CMM.AX,GMD.AX,short,2.198070563762217,3.9200000762939453,1.0049999952316284,-127.55101792567082,346.36515496540716,0.8480969790886365,,,
2023-03-08,EXIT,CMM.AX-GMD.AX,CMM.AX,GMD.AX,,,3.7200000286102295,1.0199999809265137,,,0.8277822417910836,mean_reversion,-970.9701971839512,-1.1448810939373397
2023-03-13,ENTRY,EVN.AX-CMM.AX,EVN.AX,CMM.AX,long,-3.9713402394117825,2.664170742034912,4.360000133514404,187.675659112635,-127.51978333868645,1.0559862723824007,,,
2023-03-13,ENTRY,CMM.AX-GMD.AX,CMM.AX,GMD.AX,short,3.261723372276472,4.360000133514404,1.0149999856948853,-114.67889557080632,342.9526935907528,0.8480969790886365,,,
2023-03-14,EXIT,EVN.AX-CMM.AX,EVN.AX,CMM.AX,,,2.673685312271118,4.480000019073486,,,1.0730742850298156,stop_loss,-1127.6183114891217,-1.067834252186927
2023-03-15,ENTRY,EVN.AX-CMM.AX,EVN.AX,CMM.AX,long,-2.778225810606444,2.5880515575408936,4.5,193.19553296499564,-123.55250497386686,1.0559862723824007,,,
2023-03-16,ENTRY,BHP.AX-RIO.AX,BHP.AX,RIO.AX,long,-2.1169854233491883,38.35532760620117,100.70832061767578,13.035998678816174,-1.7015983058862498,0.6713651077516865,,,
2023-03-20,ENTRY,MGR.AX-VCX.AX,MGR.AX,VCX.AX,long,-2.357381190619057,1.8716493844985962,1.7028286457061768,267.1440517337851,-107.17405368192559,0.6824990486860345,,,
2023-03-28,EXIT,BHP.AX-RIO.AX,BHP.AX,RIO.AX,,,39.24813461303711,100.4537582397461,,,0.68257057580221,mean_reversion,-332.01235731434815,-0.4945332330811977
2023-03-30,EXIT,EVN.AX-CMM.AX,EVN.AX,CMM.AX,,,2.8830132484436035,4.579999923706055,,,1.1228557444322076,mean_reversion,-1067.050296675012,-1.0104774319344605
2023-03-30,EXIT,CMM.AX-GMD.AX,CMM.AX,GMD.AX,,,4.579999923706055,1.059999942779541,,,0.888759168547275,mean_reversion,-1011.5333326189724,-1.1927095103038385
2023-04-03,EXIT,MGR.AX-VCX.AX,MGR.AX,VCX.AX,,,1.8805197477340698,1.733236312866211,,,0.6881276264136609,mean_reversion,-367.2579722246454,-0.5381076690607852
2023-04-11,ENTRY,EVN.AX-CMM.AX,EVN.AX,CMM.AX,short,2.0823182595561445,3.339728355407715,4.760000228881836,-149.71277504962222,116.803833119354,1.0559862723824007,,,
2023-04-17,ENTRY,CMM.AX-GMD.AX,CMM.AX,GMD.AX,long,-2.0244320127947195,4.849999904632568,1.2100000381469727,103.09278553230807,-287.6834447226314,0.8480969790886365,,,
2023-04-20,EXIT,CMM.AX-GMD.AX,CMM.AX,GMD.AX,,,4.340000152587891,1.3700000047683716,,,0.8415490255827143,stop_loss,-796.4902407941667,-0.9391499562350448
2023-04-21,ENTRY,CMM.AX-GMD.AX,CMM.AX,GMD.AX,long,-2.354309221304822,4.449999809265137,1.3650000095367432,112.35955537772683,-255.0161001147351,0.8480969790886366,,,
2023-05-05,EXIT,CMM.AX-GMD.AX,CMM.AX,GMD.AX,,,4.579999923706055,1.2699999809265137,,,0.8384771973393026,mean_reversion,-659.0472404890968,-0.7770894800230367
2023-05-23,EXIT,EVN.AX-CMM.AX,EVN.AX,CMM.AX,,,3.491966485977173,4.21999979019165,,,1.0157041442531747,mean_reversion,-1087.9378045377023,-1.0302575260597053
2023-05-24,ENTRY,BHP.AX-RIO.AX,BHP.AX,RIO.AX,long,-2.4209674878207452,37.85146713256836,93.97570037841797,13.209527605596755,-1.823504449146317,0.6713651077516865,,,
2023-05-30,ENTRY,EVN.AX-CMM.AX,EVN.AX,CMM.AX,long,-2.154470330787384,3.2350645065307617,4.28000020980835,154.55642352436215,-129.90332830084063,1.0559862723824007,,,
2023-06-05,EXIT,EVN.AX-CMM.AX,EVN.AX,CMM.AX,,,3.4634220600128174,4.289999961853027,,,1.0925794002061475,mean_reversion,-1080.1259847592173,-1.0228598732844842
2023-06-05,EXIT,BHP.AX-RIO.AX,BHP.AX,RIO.AX,,,38.89455032348633,97.95207977294922,,,0.6923946894744727,mean_reversion,-337.56628461265564,-0.5028058216238267
2023-06-14,ENTRY,MGR.AX-VCX.AX,MGR.AX,VCX.AX,long,-2.474420532377785,1.9337421655654907,1.6159497499465942,258.56601200697474,-112.93609141748739,0.6824990486860345,,,
2023-06-14,ENTRY,BHP.AX-RIO.AX,BHP.AX,RIO.AX,short,2.185118590177249,40.57408905029297,101.95478057861328,-12.32313557009827,1.6807952190094073,0.6713651077516863,,,
2023-06-14,ENTRY,CMM.AX-GMD.AX,CMM.AX,GMD.AX,long,-2.5403782759581444,4.210000038146973,1.2999999523162842,118.76484452956787,-267.76691681289077,0.8480969790886365,,,
2023-06-19,EXIT,MGR.AX-VCX.AX,MGR.AX,VCX.AX,,,2.013575315475464,1.633325457572937,,,0.7051035323891435,mean_reversion,-347.70590525989957,-0.5094599119651703
2023-06-21,EXIT,CMM.AX-GMD.AX,CMM.AX,GMD.AX,,,4.28000020980835,1.2699999809265137,,,0.8483775387495291,mean_reversion,-681.5438733471908,-0.8036154946331453
2023-06-23,EXIT,BHP.AX-RIO.AX,BHP.AX,RIO.AX,,,39.4249267578125,99.30386352539062,,,0.6527481763203575,mean_reversion,-991.6184792708374,-1.4770181944540395
2023-07-07,ENTRY,BHP.AX-RIO.AX,BHP.AX,RIO.AX,long,-2.413081739399563,38.187374114990234,98.09252166748047,13.093332851177317,-1.7469742324760438,0.6713651077516863,,,
2023-07-11,ENTRY,CMM.AX-GMD.AX,CMM.AX,GMD.AX,short,2.1191014854387333,4.389999866485596,1.2100000381469727,-113.8952198648411,287.6834447226314,0.8480969790886366,,,
2023-07-12,ENTRY,EVN.AX-CMM.AX,EVN.AX,CMM.AX,long,-3.0229870183329486,3.244579315185547,4.570000171661377,154.1031830104627,-121.66001126872555,1.0559862723824007,,,
2023-07-14,EXIT,BHP.AX-RIO.AX,BHP.AX,RIO.AX,,,40.23817825317383,104.47401428222656,,,0.7093652721081936,mean_reversion,-328.4073878521206,-0.48916362208919956
2023-07-17,EXIT,EVN.AX-CMM.AX,EVN.AX,CMM.AX,,,3.6156601905822754,4.739999771118164,,,1.133853169620937,mean_reversion,-1077.6597933394517,-1.0205244343831794
